,country_region_code,country_region,sub_region_1,sub_region_2,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
610972,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-09,-14.0,0.0,-30.0,-51.0,-32.0,12.0
610973,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-10,-10.0,1.0,-3.0,-47.0,-30.0,10.0
610974,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-11,-7.0,-1.0,17.0,-42.0,-7.0,4.0
610975,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-12,-8.0,-1.0,-7.0,-49.0,-11.0,4.0
610976,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-13,-11.0,1.0,-11.0,-45.0,-20.0,9.0
610977,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-14,-13.0,0.0,-5.0,-45.0,-21.0,9.0
610978,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-15,-10.0,1.0,5.0,-42.0,-20.0,9.0
610979,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-16,-11.0,2.0,6.0,-44.0,-20.0,8.0
610980,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-17,-7.0,3.0,3.0,-41.0,-19.0,7.0
610981,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-18,-4.0,3.0,30.0,-41.0,-7.0,3.0
610982,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-19,-3.0,0.0,31.0,-44.0,-12.0,3.0
610983,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-20,-10.0,1.0,-3.0,-43.0,-17.0,8.0
610984,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-21,-12.0,0.0,4.0,-43.0,-18.0,8.0
